ok	kind	orig_bytes	xml_bytes	xml_files	byte_identical	content_identical	seconds	stage	note	warnings	file
True	.vi	12666	265229	15	False	True	2.1	done	31 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000020, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 270 and does not match parsed size 39	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Mathematics\Probability and Statistics\subVIs\Boxplot - Compute Boxplot data.vi
True	.ctl	4566	26250	12	False	True	1.4	done	30 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000015, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 300 and does not match parsed size 32	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Object-Oriented Programming\Basic Interfaces\Box\Box State.ctl
True	.ctl	3740	22608	11	False	True	1.37	done	29 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000042, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 136 and does not match parsed size 21	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Object-Oriented Programming\Board Testing\Common\Board Image.ctl
True	.vi	5514	65031	11	False	True	1.59	done	27 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000042, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 136 and does not match parsed size 21	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Object-Oriented Programming\Board Testing\Common\Point to Distance on Board.vi
True	.vi	10613	133656	15	False	True	1.85	done	29 blocks identical	Parsing failed for block b'LIbd' section 0, switched to raw | Parsing failed for block b'LIfp' section 0, switched to raw | Parsing failed for block b'LIvi' section 0, switched to raw | Parsing failed for block b'VITS' section 0, switched to raw	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Object-Oriented Programming\Board Testing\Object Design\Resistor\Self Test.vi
True	.vi	17296	208599	24	False	True	1.96	done	40 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000020, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 1335 and does not match parsed size 39	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Signal Processing\Filters\Zero Phase Filtering.vi
True	.ctl	5794	28773	15	False	True	1.46	done	33 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000015, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 114 and does not match parsed size 32	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Structures\Case Structure\support\Case Structure - Enum Options.ctl
True	.vi	26104	437573	41	False	True	2.74	done	57 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000104, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 1921 and does not match parsed size 26	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\Synchronization\Queue\Queue Overflow and Underflow.vi
True	.vi	38029	583713	42	False	True	2.98	done	58 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x00084B, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 2270 and does not match parsed size 31	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\control\PID\Simulation - Cascade and Selector.vi
True	.vi	47165	1382442	53	False	True	4.25	done	69 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000615, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 1704 and does not match parsed size 31	C:\Program Files (x86)\National Instruments\LabVIEW 2026\examples\control\fuzzy\Tanks with PI control\FuzzyEx Tanks with PI control.vi
True	.vi	41833	898212	45	False	True	3.1	done	61 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000042, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 1775 and does not match parsed size 21	C:\Users\jcm\AppData\Local\Temp\claude\C--Projects-LabVIEWMCP\ff9035ed-8616-4339-a7f2-684e24f9c40a\scratchpad\work\orig\User Event Generation.vi
True	.ctl	4219	40437	11	False	True	1.35	done	29 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000015, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 114 and does not match parsed size 32	C:\Users\jcm\AppData\Local\Temp\claude\C--Projects-LabVIEWMCP\ff9035ed-8616-4339-a7f2-684e24f9c40a\scratchpad\work\orig\User Event Record Data.ctl
True	.ctl	4048	25421	11	False	True	1.39	done	29 blocks identical	Parsing failed for block b'VITS' section 0, switched to raw | Warning: Block b'VITS' section 0 parse exception: LVVariant has ver set to size=0x000037, but file version is above LV8.0. | Warning: Block b'VITS' section 0 size is 204 and does not match parsed size 39	C:\Users\jcm\AppData\Local\Temp\claude\C--Projects-LabVIEWMCP\ff9035ed-8616-4339-a7f2-684e24f9c40a\scratchpad\work\orig\User Event Record State.ctl
