node	occurrences	viFiles	commonestInputs	commonestOutputs
Look In Map	3	3	map | key | default value	key not found? | value
Insert Into Set	3	2	set in | element	set out | already included?
Register Event Callback	3	3	event callback refnum | error in (no error) | event source | VI Ref | Meter	event callback refnum | error out
Automation Open	3	3	Automation Refnum | machine name | open new instance | error in (no error)	Automation Refnum | error out
Spreadsheet String To Array	3	3	format string | spreadsheet string | array type (2D Dbl) | delimiter (Tab)	array
Search/Split String	3	3	string | search string/char (-) | offset (0)	substring before match | match + rest of string | offset of match
Inverse Tangent (2 Input)	3	3	y | x	atan2(y\2Cx)
Logarithm Base X	3	1	y | x	logx(y)
Bluetooth Read	3	2	connection ID | bytes to read | timeout ms (25000) | error in (no error) | mode (standard)	connection ID out | data out | error out
Bluetooth Write	3	2	connection ID | data in | timeout ms (25000) | error in (no error)	connection ID out | bytes written | error out
Write to Binary File	3	3	file (use dialog) | data | byte order (0\3Abig-endian\2C network order) | error in | prompt (Choose or enter file path) | prepend array or string size? (T)	refnum out | cancelled | error out
IrDA Read	3	2	connection ID | bytes to read | timeout ms (25000) | error in (no error) | mode (standard)	connection ID out | data out | error out
IrDA Write	3	2	connection ID | data in | timeout ms (25000) | error in (no error)	connection ID out | bytes written | error out
New TLS Configuration	3	2	load OS trusted CAs? | error in (no error)	TLS configuration out | error out
Make TLS Configuration Immutable	3	2	TLS configuration | error in (no error)	immutable TLS configuration | error out
Close TLS Configuration	3	2	TLS configuration | error in (no error)	error out
Sign	3	3	number	-1\2C 0\2C 1
Replace Substring	3	1	string | substring | offset | length	result string | replaced substring
TDMS Set Properties	3	3	tdms file | group name | channel name | error in (no error) | property names | property values	tdms file out | group name out | channel name out | error out
TDMS Set Next Read Position	3	3	tdms file | offset (0) | from (0\3A start) | error in (no error) | group name in | channel name in	tdms file out | error out
TDMS Delete Data	3	1	file path | group name in | channel name(s) in | error in (no error) | from (0\3A start) | count (-1\3A all) | keep empty group/channel? (T)	file path out | error out
Format Into File	3	1	input file | error in | input 1 | input 2 | input 3 | input 4 | input 5 | format string	output file refnum | error out
Scan From File	3	1	input file | error in | default value 1 | default value 2 | default value 3 | default value 4 | default value 5 | format string	output file refnum | error out | output 1 | output 2 | output 3 | output 4 | output 5
Build Cluster Array	3	2	component element | component element	array of clusters
VISA Enable Event	3	3	VISA resource name | event type | mechanism (1\3A  VI_QUEUE) | error in (no error)	VISA resource name out | error out
Threshold 1D Array	3	2	array of numbers or points | threshold y | start index (0)	fractional index or x
Interleave 1D Arrays	3	2	array | array	interleaved array
Get Drag Drop Data	3	3	data name | type | error in (no error)	data | error out
Integer to Fixed-Point Cast	3	1	integer | fixed-point type	fixed-point
To More Generic Class	3	3	reference | target class	generic class reference
Logarithm Base 10	3	3	x	log(x)
Insert Into Map	2	2	map in | key | value	map out | key already included? | value unchanged?
Remove From Map	2	2	map in | key	map out | key not found? | value
Map Get / Replace Value	2	1	map | key | default value	key not found? | value
To Unsigned Word Integer	2	2	number	unsigned 16bit integer
Or Array Elements	2	2	Boolean array	logical OR
Not And	2	2	x | y	.not. (x .and. y)?
Create Network Stream Reader Endpoint	2	2	reader name | writer url | data type | error in (no error) | reader buffer size | timeout in ms (-1) | element allocation mode	reader endpoint | error out
Create Network Stream Writer Endpoint	2	2	writer name | reader url | data type | error in (no error) | writer buffer size | timeout in ms (-1) | element allocation mode	writer endpoint | error out
Read Single Element from Stream	2	2	endpoint in | timeout ms (-1) | error in (no error)	endpoint out | data out | timed out? | error out
Bluetooth Close Connection	2	2	connection ID | abort (F) | error in (no error)	connection ID out | error out
IrDA Close Connection	2	2	connection ID | abort (F) | error in (no error)	connection ID out | error out
Start TLS	2	2	TCP connection | immutable TLS configuration | server hostname | error in (no error) | timeout ms | server certificate validation	TLS connection | server certificate chain | error out
Open Variable Connection	2	1	shared variable refnum in | data type | error in (no error) | access	shared variable refnum out | error out
Read Variable	2	1	shared variable refnum in | error in (no error)	timestamp | shared variable refnum out | data out | error out
Close Variable Connection	2	1	shared variable refnum in | error in (no error)	error out
Search and Replace String	2	2	input string | search string | replace string | offset | error in | replace all? | case sensitive?	result string | number of replacements | offset past replacement | error out
Round To Nearest	2	2	number	nearest integer value
Current VI's Menubar	2	2		menu reference
Open/Create/Replace Datalog	2	2	datalog path (use dialog) | operation (0\3Aopen) | access (0\3Aread/write) | error in | prompt | record type	refnum out | cancelled | error out
TDMS Get Asynchronous Read Status	2	2	tdms file | error in (no error)	tdms file out | number of buffers available | all buffers full? | error out
TDMS Set Next Write Position	2	2	tdms file | offset (0) | from (0\3Astart) | error in (no error) | group name in | channel name in	tdms file out | error out
TDMS In Memory Read Bytes	2	2	tdms file | error in (no error) | offset (0) | byte count (-1\3A all)	tdms file out | data | error out
Sinc	2	2	x	sin(x)/x
VISA Disable Event	2	2	VISA resource name | event type (all enabled) | mechanism (1\3A  VI_QUEUE) | error in (no error)	VISA resource name out | error out
VISA Wait on Event	2	2	VISA resource name | event type (all enabled) | event  resource name (for class) | error in (no error) | timeout (0)	VISA resource name out | event type | event  resource name | error out
VISA Unlock	2	1	VISA resource name | error in (no error)	VISA resource name out | error out
VISA Assert Trigger	2	1	VISA resource name | protocol (default\3A  0) | error in (no error)	VISA resource name out | error out
Data Value Reference Read / Write Element	2	1	value	value | value
File Dialog	2	2	start path | default name | error in | prompt | button label | pattern (all files) | pattern label	selected path | exists | cancelled | error out
Decimate 1D Array	2	2	array	decimated array | decimated array
Multiply Array Elements	2	2	numeric array	product
Script Node	2	2	error in	2-D Array of Real | error out
Fixed-Point to Integer Cast	2	1	fixed-point	integer
Set Occurrence	2	1	occurrence	
Open Application Reference	1	1	machine name (""\3A  open local reference) | port number or service name (3363) | timeout ms | error in (no error)	application reference | error out
Rotate Right With Carry	1	1	carry | value	lsb carry out | value
Date/Time To Seconds	1	1	date time rec | is UTC (F)	time stamp
Build Map	1	1	key | value | key | value | key | value	map
Decimal Digit?	1	1	char	digit?
Hex Digit?	1	1	char	hex?
Octal Digit?	1	1	char	octal?
Printable?	1	1	char	printable ASCII?
White Space?	1	1	char	space\2C h/v tab\2C cr\2C lf\2C ff?
Lexical Class	1	1	char	class number
