class	method	parameters	returns
{LV.IVILogicalNameConstant}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.IVILogicalNameConstant}	Update Typedef		Update Typedef
{LV.IVILogicalName}	AttachDataSocket	url; mode; enabled	
{LV.IVILogicalName}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.IVILogicalName}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.IVILogicalName}	Create Control Ref		Create Control Ref
{LV.IVILogicalName}	Create Invoke Node		Create Invoke Node
{LV.IVILogicalName}	Create Local		Create Local
{LV.IVILogicalName}	Create Property Node		Create Property Node
{LV.IVILogicalName}	Delete		
{LV.IVILogicalName}	Discon Typedef		Discon Typedef
{LV.IVILogicalName}	Get Image	image depth; bg color	image data
{LV.IVILogicalName}	Get Term Image	image depth; background color	image data
{LV.IVILogicalName}	GetProperty	Index	GetProperty
{LV.IVILogicalName}	GetPropertyCallData		GetPropertyCallData
{LV.IVILogicalName}	GetTag	TagName	GetTag; Value; isPersistent
{LV.IVILogicalName}	Move	position; owner; duplicate	
{LV.IVILogicalName}	ObjHighlight		
{LV.IVILogicalName}	Reinit To Dflt		
{LV.IVILogicalName}	RemoveDataSocket		
{LV.IVILogicalName}	RemoveTag	TagName	RemoveTag; OldValue
{LV.IVILogicalName}	Replace	Style; Path; PaletteString	Replace
{LV.IVILogicalName}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.IVILogicalName}	SetClassName	ClassName	
{LV.IVILogicalName}	SetProperty	Index; Value	
{LV.IVILogicalName}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.IVILogicalName}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.IVILogicalName}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.IVILogicalName}	Update Typedef		Update Typedef
{LV.IndexArray}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.IndexArray}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.IndexArray}	Delete		
{LV.IndexArray}	GetProperty	Index	GetProperty
{LV.IndexArray}	GetPropertyCallData		GetPropertyCallData
{LV.IndexArray}	GetTag	TagName	GetTag; Value; isPersistent
{LV.IndexArray}	Move	position; owner; duplicate	
{LV.IndexArray}	ObjHighlight		
{LV.IndexArray}	RemoveTag	TagName	RemoveTag; OldValue
{LV.IndexArray}	Replace	Style; Path; PaletteString	Replace
{LV.IndexArray}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.IndexArray}	Resize	bounds	
{LV.IndexArray}	SetProperty	Index; Value	
{LV.IndexArray}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.IndexArray}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.IndexArray}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.InnerTerminal}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.InnerTerminal}	Connect Wire	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.InnerTerminal}	Create Constant	Value	Create Constant
{LV.InnerTerminal}	Create Control	Value	Create Control
{LV.InnerTerminal}	Create Described Wire	Wire Source; Wire Description; Auto Route? (F)	
{LV.InnerTerminal}	Create Indicator		Create Indicator
{LV.InnerTerminal}	Delete		
{LV.InnerTerminal}	GetProperty	Index	GetProperty
{LV.InnerTerminal}	GetPropertyCallData		GetPropertyCallData
{LV.InnerTerminal}	GetTag	TagName	GetTag; Value; isPersistent
{LV.InnerTerminal}	Move	position; owner; duplicate	
{LV.InnerTerminal}	ObjHighlight		
{LV.InnerTerminal}	RemoveTag	TagName	RemoveTag; OldValue
{LV.InnerTerminal}	Replace	Style; Path; PaletteString	Replace
{LV.InnerTerminal}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.InnerTerminal}	SetProperty	Index; Value	
{LV.InnerTerminal}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.InnerTerminal}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.InnerTerminal}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.IntensityChart}	AttachDataSocket	url; mode; enabled	
{LV.IntensityChart}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.IntensityChart}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.IntensityChart}	Create Control Ref		Create Control Ref
{LV.IntensityChart}	Create Invoke Node		Create Invoke Node
{LV.IntensityChart}	Create Local		Create Local
{LV.IntensityChart}	Create Property Node		Create Property Node
{LV.IntensityChart}	Delete		
{LV.IntensityChart}	Discon Typedef		Discon Typedef
{LV.IntensityChart}	Get Image	image depth; bg color	image data
{LV.IntensityChart}	Get Term Image	image depth; background color	image data
{LV.IntensityChart}	GetProperty	Index	GetProperty
{LV.IntensityChart}	GetPropertyCallData		GetPropertyCallData
{LV.IntensityChart}	GetTag	TagName	GetTag; Value; isPersistent
{LV.IntensityChart}	Map Coords To XY	Coords; X Scale; Y Scale	Map Coords To XY; XY
{LV.IntensityChart}	Move	position; owner; duplicate	
{LV.IntensityChart}	ObjHighlight		
{LV.IntensityChart}	Reinit To Dflt		
{LV.IntensityChart}	RemoveDataSocket		
{LV.IntensityChart}	RemoveTag	TagName	RemoveTag; OldValue
{LV.IntensityChart}	Replace	Style; Path; PaletteString	Replace
{LV.IntensityChart}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.IntensityChart}	SetProperty	Index; Value	
{LV.IntensityChart}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.IntensityChart}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.IntensityChart}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.IntensityChart}	Update Typedef		Update Typedef
{LV.IntensityGraph}	AttachDataSocket	url; mode; enabled	
{LV.IntensityGraph}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.IntensityGraph}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.IntensityGraph}	Create Control Ref		Create Control Ref
{LV.IntensityGraph}	Create Invoke Node		Create Invoke Node
{LV.IntensityGraph}	Create Local		Create Local
{LV.IntensityGraph}	Create Property Node		Create Property Node
{LV.IntensityGraph}	Delete		
{LV.IntensityGraph}	Discon Typedef		Discon Typedef
{LV.IntensityGraph}	Get Image	image depth; bg color	image data
{LV.IntensityGraph}	Get Term Image	image depth; background color	image data
{LV.IntensityGraph}	GetProperty	Index	GetProperty
{LV.IntensityGraph}	GetPropertyCallData		GetPropertyCallData
{LV.IntensityGraph}	GetTag	TagName	GetTag; Value; isPersistent
{LV.IntensityGraph}	Map Coords To XY	Coords; X Scale; Y Scale	Map Coords To XY; XY
{LV.IntensityGraph}	Move	position; owner; duplicate	
{LV.IntensityGraph}	ObjHighlight		
{LV.IntensityGraph}	Reinit To Dflt		
{LV.IntensityGraph}	RemoveDataSocket		
{LV.IntensityGraph}	RemoveTag	TagName	RemoveTag; OldValue
{LV.IntensityGraph}	Replace	Style; Path; PaletteString	Replace
{LV.IntensityGraph}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.IntensityGraph}	SetProperty	Index; Value	
{LV.IntensityGraph}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.IntensityGraph}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.IntensityGraph}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.IntensityGraph}	Update Typedef		Update Typedef
{LV.Invoke}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Invoke}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.Invoke}	Delete		
{LV.Invoke}	GetProperty	Index	GetProperty
{LV.Invoke}	GetPropertyCallData		GetPropertyCallData
{LV.Invoke}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Invoke}	Move	position; owner; duplicate	
{LV.Invoke}	ObjHighlight		
{LV.Invoke}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Invoke}	Replace	Style; Path; PaletteString	Replace
{LV.Invoke}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Invoke}	Resize	bounds	
{LV.Invoke}	SetProperty	Index; Value	
{LV.Invoke}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Invoke}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Invoke}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Knob}	Add Slider		
{LV.Knob}	AttachDataSocket	url; mode; enabled	
{LV.Knob}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Knob}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.Knob}	Create Control Ref		Create Control Ref
{LV.Knob}	Create Invoke Node		Create Invoke Node
{LV.Knob}	Create Local		Create Local
{LV.Knob}	Create Property Node		Create Property Node
{LV.Knob}	Delete		
{LV.Knob}	Delete Slider		
{LV.Knob}	Discon Typedef		Discon Typedef
{LV.Knob}	Get Image	image depth; bg color	image data
{LV.Knob}	Get Term Image	image depth; background color	image data
{LV.Knob}	GetProperty	Index	GetProperty
{LV.Knob}	GetPropertyCallData		GetPropertyCallData
{LV.Knob}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Knob}	Move	position; owner; duplicate	
{LV.Knob}	ObjHighlight		
{LV.Knob}	Reinit To Dflt		
{LV.Knob}	RemoveDataSocket		
{LV.Knob}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Knob}	Replace	Style; Path; PaletteString	Replace
{LV.Knob}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Knob}	SetProperty	Index; Value	
{LV.Knob}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Knob}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Knob}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Knob}	Update Typedef		Update Typedef
{LV.LVVariant}	AttachDataSocket	url; mode; enabled	
{LV.LVVariant}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.LVVariant}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.LVVariant}	Create Control Ref		Create Control Ref
{LV.LVVariant}	Create Invoke Node		Create Invoke Node
{LV.LVVariant}	Create Local		Create Local
{LV.LVVariant}	Create Property Node		Create Property Node
{LV.LVVariant}	Delete		
{LV.LVVariant}	Discon Typedef		Discon Typedef
{LV.LVVariant}	Get Image	image depth; bg color	image data
{LV.LVVariant}	Get Term Image	image depth; background color	image data
{LV.LVVariant}	GetProperty	Index	GetProperty
{LV.LVVariant}	GetPropertyCallData		GetPropertyCallData
{LV.LVVariant}	GetTag	TagName	GetTag; Value; isPersistent
{LV.LVVariant}	Move	position; owner; duplicate	
{LV.LVVariant}	ObjHighlight		
{LV.LVVariant}	Reinit To Dflt		
{LV.LVVariant}	RemoveDataSocket		
{LV.LVVariant}	RemoveTag	TagName	RemoveTag; OldValue
{LV.LVVariant}	Replace	Style; Path; PaletteString	Replace
{LV.LVVariant}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.LVVariant}	SetProperty	Index; Value	
{LV.LVVariant}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.LVVariant}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.LVVariant}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.LVVariant}	Update Typedef		Update Typedef
{LV.LeftShiftRegister}	AddElem		AddElem
{LV.LeftShiftRegister}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.LeftShiftRegister}	Delete		
{LV.LeftShiftRegister}	GetProperty	Index	GetProperty
{LV.LeftShiftRegister}	GetPropertyCallData		GetPropertyCallData
{LV.LeftShiftRegister}	GetTag	TagName	GetTag; Value; isPersistent
{LV.LeftShiftRegister}	Move	position; owner; duplicate	
{LV.LeftShiftRegister}	ObjHighlight		
{LV.LeftShiftRegister}	RemoveTag	TagName	RemoveTag; OldValue
{LV.LeftShiftRegister}	Replace	Style; Path; PaletteString	Replace
{LV.LeftShiftRegister}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.LeftShiftRegister}	SetProperty	Index; Value	
{LV.LeftShiftRegister}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.LeftShiftRegister}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.LeftShiftRegister}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.ListBox}	AttachDataSocket	url; mode; enabled	
{LV.ListBox}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.ListBox}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.ListBox}	Create Control Ref		Create Control Ref
{LV.ListBox}	Create Invoke Node		Create Invoke Node
{LV.ListBox}	Create Local		Create Local
{LV.ListBox}	Create Property Node		Create Property Node
{LV.ListBox}	Delete		
{LV.ListBox}	Discon Typedef		Discon Typedef
{LV.ListBox}	Get Image	image depth; bg color	image data
{LV.ListBox}	Get Term Image	image depth; background color	image data
{LV.ListBox}	GetProperty	Index	GetProperty
{LV.ListBox}	GetPropertyCallData		GetPropertyCallData
{LV.ListBox}	GetTag	TagName	GetTag; Value; isPersistent
{LV.ListBox}	Move	position; owner; duplicate	
{LV.ListBox}	ObjHighlight		
{LV.ListBox}	Reinit To Dflt		
{LV.ListBox}	RemoveDataSocket		
{LV.ListBox}	RemoveTag	TagName	RemoveTag; OldValue
{LV.ListBox}	Replace	Style; Path; PaletteString	Replace
{LV.ListBox}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.ListBox}	SetProperty	Index; Value	
{LV.ListBox}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.ListBox}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.ListBox}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.ListBox}	Update Typedef		Update Typedef
{LV.Local}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Local}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.Local}	Delete		
{LV.Local}	GetProperty	Index	GetProperty
{LV.Local}	GetPropertyCallData		GetPropertyCallData
{LV.Local}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Local}	Move	position; owner; duplicate	
{LV.Local}	ObjHighlight		
{LV.Local}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Local}	Replace	Style; Path; PaletteString	Replace
{LV.Local}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Local}	SetProperty	Index; Value	
{LV.Local}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Local}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Local}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.LoopTunnel}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.LoopTunnel}	Delete		
{LV.LoopTunnel}	GetProperty	Index	GetProperty
{LV.LoopTunnel}	GetPropertyCallData		GetPropertyCallData
{LV.LoopTunnel}	GetTag	TagName	GetTag; Value; isPersistent
{LV.LoopTunnel}	Move	position; owner; duplicate	
{LV.LoopTunnel}	ObjHighlight		
{LV.LoopTunnel}	RemoveTag	TagName	RemoveTag; OldValue
{LV.LoopTunnel}	Replace	Style; Path; PaletteString	Replace
{LV.LoopTunnel}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.LoopTunnel}	SetProperty	Index; Value	
{LV.LoopTunnel}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.LoopTunnel}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.LoopTunnel}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Loop}	Add Shift Register	Y Position	Add Shift Register
{LV.Loop}	Auto Size		
{LV.Loop}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Loop}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.Loop}	Delete		
{LV.Loop}	GetProperty	Index	GetProperty
{LV.Loop}	GetPropertyCallData		GetPropertyCallData
{LV.Loop}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Loop}	Move	position; owner; duplicate	
{LV.Loop}	ObjHighlight		
{LV.Loop}	Remove Structure		
{LV.Loop}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Loop}	Replace	Style; Path; PaletteString	Replace
{LV.Loop}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Loop}	SetProperty	Index; Value	
{LV.Loop}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Loop}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Loop}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.MultiFrameStructure}	Add Frame	Reference Frame Index; After? (T)	Add Frame
{LV.MultiFrameStructure}	Auto Size		
{LV.MultiFrameStructure}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.MultiFrameStructure}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.MultiFrameStructure}	Delete		
{LV.MultiFrameStructure}	Duplicate Frame	Frame Index	Duplicate Frame
{LV.MultiFrameStructure}	GetProperty	Index	GetProperty
{LV.MultiFrameStructure}	GetPropertyCallData		GetPropertyCallData
{LV.MultiFrameStructure}	GetTag	TagName	GetTag; Value; isPersistent
{LV.MultiFrameStructure}	Move	position; owner; duplicate	
{LV.MultiFrameStructure}	ObjHighlight		
{LV.MultiFrameStructure}	Remove Frame	Frame Index	
{LV.MultiFrameStructure}	Remove Structure		
{LV.MultiFrameStructure}	RemoveTag	TagName	RemoveTag; OldValue
{LV.MultiFrameStructure}	Replace	Style; Path; PaletteString	Replace
{LV.MultiFrameStructure}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.MultiFrameStructure}	SetProperty	Index; Value	
{LV.MultiFrameStructure}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.MultiFrameStructure}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.MultiFrameStructure}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.MulticolumnListbox}	AttachDataSocket	url; mode; enabled	
{LV.MulticolumnListbox}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.MulticolumnListbox}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.MulticolumnListbox}	Create Control Ref		Create Control Ref
{LV.MulticolumnListbox}	Create Invoke Node		Create Invoke Node
{LV.MulticolumnListbox}	Create Local		Create Local
{LV.MulticolumnListbox}	Create Property Node		Create Property Node
{LV.MulticolumnListbox}	Delete		
{LV.MulticolumnListbox}	Discon Typedef		Discon Typedef
{LV.MulticolumnListbox}	Get Clicked Col Hdr		Get Clicked Column Header
{LV.MulticolumnListbox}	Get DblClk Row		Get Double-clicked Row
{LV.MulticolumnListbox}	Get Image	image depth; bg color	image data
{LV.MulticolumnListbox}	Get Term Image	image depth; background color	image data
{LV.MulticolumnListbox}	GetProperty	Index	GetProperty
{LV.MulticolumnListbox}	GetPropertyCallData		GetPropertyCallData
{LV.MulticolumnListbox}	GetTag	TagName	GetTag; Value; isPersistent
{LV.MulticolumnListbox}	Move	position; owner; duplicate	
{LV.MulticolumnListbox}	ObjHighlight		
{LV.MulticolumnListbox}	Reinit To Dflt		
{LV.MulticolumnListbox}	RemoveDataSocket		
{LV.MulticolumnListbox}	RemoveTag	TagName	RemoveTag; OldValue
{LV.MulticolumnListbox}	Replace	Style; Path; PaletteString	Replace
{LV.MulticolumnListbox}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.MulticolumnListbox}	SetProperty	Index; Value	
{LV.MulticolumnListbox}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.MulticolumnListbox}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.MulticolumnListbox}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.MulticolumnListbox}	Update Typedef		Update Typedef
{LV.NamedBundler}	AddInputAfter	Index	AddInputAfter
{LV.NamedBundler}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.NamedBundler}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.NamedBundler}	Delete		
{LV.NamedBundler}	GetProperty	Index	GetProperty
{LV.NamedBundler}	GetPropertyCallData		GetPropertyCallData
{LV.NamedBundler}	GetTag	TagName	GetTag; Value; isPersistent
{LV.NamedBundler}	Move	position; owner; duplicate	
{LV.NamedBundler}	ObjHighlight		
{LV.NamedBundler}	RemoveInput	Index	
{LV.NamedBundler}	RemoveTag	TagName	RemoveTag; OldValue
{LV.NamedBundler}	Replace	Style; Path; PaletteString	Replace
{LV.NamedBundler}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.NamedBundler}	Resize	bounds	
{LV.NamedBundler}	SetProperty	Index; Value	
{LV.NamedBundler}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.NamedBundler}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.NamedBundler}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.NamedNumericConstant}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.NamedNumericConstant}	Delete		
{LV.NamedNumericConstant}	Discon Typedef		Discon Typedef
{LV.NamedNumericConstant}	GetProperty	Index	GetProperty
{LV.NamedNumericConstant}	GetPropertyCallData		GetPropertyCallData
{LV.NamedNumericConstant}	GetTag	TagName	GetTag; Value; isPersistent
{LV.NamedNumericConstant}	Move	position; owner; duplicate	
{LV.NamedNumericConstant}	ObjHighlight		
{LV.NamedNumericConstant}	RemoveTag	TagName	RemoveTag; OldValue
{LV.NamedNumericConstant}	Replace	Style; Path; PaletteString	Replace
{LV.NamedNumericConstant}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.NamedNumericConstant}	SetProperty	Index; Value	
{LV.NamedNumericConstant}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.NamedNumericConstant}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.NamedNumericConstant}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.NamedNumericConstant}	Update Typedef		Update Typedef
{LV.NamedNumeric}	AttachDataSocket	url; mode; enabled	
{LV.NamedNumeric}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.NamedNumeric}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.NamedNumeric}	Create Control Ref		Create Control Ref
{LV.NamedNumeric}	Create Invoke Node		Create Invoke Node
{LV.NamedNumeric}	Create Local		Create Local
{LV.NamedNumeric}	Create Property Node		Create Property Node
{LV.NamedNumeric}	Delete		
{LV.NamedNumeric}	Discon Typedef		Discon Typedef
{LV.NamedNumeric}	Get Image	image depth; bg color	image data
{LV.NamedNumeric}	Get Term Image	image depth; background color	image data
{LV.NamedNumeric}	GetProperty	Index	GetProperty
{LV.NamedNumeric}	GetPropertyCallData		GetPropertyCallData
{LV.NamedNumeric}	GetTag	TagName	GetTag; Value; isPersistent
{LV.NamedNumeric}	Move	position; owner; duplicate	
{LV.NamedNumeric}	ObjHighlight		
{LV.NamedNumeric}	Reinit To Dflt		
{LV.NamedNumeric}	RemoveDataSocket		
{LV.NamedNumeric}	RemoveTag	TagName	RemoveTag; OldValue
{LV.NamedNumeric}	Replace	Style; Path; PaletteString	Replace
{LV.NamedNumeric}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.NamedNumeric}	SetProperty	Index; Value	
{LV.NamedNumeric}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.NamedNumeric}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.NamedNumeric}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.NamedNumeric}	Update Typedef		Update Typedef
{LV.NamedUnbundler}	AddOutputAfter	Index	AddOutputAfter
{LV.NamedUnbundler}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.NamedUnbundler}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.NamedUnbundler}	Delete		
{LV.NamedUnbundler}	GetProperty	Index	GetProperty
{LV.NamedUnbundler}	GetPropertyCallData		GetPropertyCallData
{LV.NamedUnbundler}	GetTag	TagName	GetTag; Value; isPersistent
{LV.NamedUnbundler}	Move	position; owner; duplicate	
{LV.NamedUnbundler}	ObjHighlight		
{LV.NamedUnbundler}	RemoveOutput	Index	
{LV.NamedUnbundler}	RemoveTag	TagName	RemoveTag; OldValue
{LV.NamedUnbundler}	Replace	Style; Path; PaletteString	Replace
{LV.NamedUnbundler}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.NamedUnbundler}	Resize	bounds	
{LV.NamedUnbundler}	SetProperty	Index; Value	
{LV.NamedUnbundler}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.NamedUnbundler}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.NamedUnbundler}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Node}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Node}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.Node}	Delete		
{LV.Node}	GetProperty	Index	GetProperty
{LV.Node}	GetPropertyCallData		GetPropertyCallData
{LV.Node}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Node}	Move	position; owner; duplicate	
{LV.Node}	ObjHighlight		
{LV.Node}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Node}	Replace	Style; Path; PaletteString	Replace
{LV.Node}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Node}	SetProperty	Index; Value	
{LV.Node}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Node}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Node}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.NumericConstant}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.NumericConstant}	Delete		
{LV.NumericConstant}	Discon Typedef		Discon Typedef
{LV.NumericConstant}	GetProperty	Index	GetProperty
{LV.NumericConstant}	GetPropertyCallData		GetPropertyCallData
{LV.NumericConstant}	GetTag	TagName	GetTag; Value; isPersistent
{LV.NumericConstant}	Move	position; owner; duplicate	
{LV.NumericConstant}	ObjHighlight		
{LV.NumericConstant}	RemoveTag	TagName	RemoveTag; OldValue
{LV.NumericConstant}	Replace	Style; Path; PaletteString	Replace
{LV.NumericConstant}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.NumericConstant}	SetProperty	Index; Value	
{LV.NumericConstant}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.NumericConstant}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.NumericConstant}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.NumericConstant}	Update Typedef		Update Typedef
{LV.NumericText}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.NumericText}	Delete		
